family,alpha,file,overlap,p,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,s_y,dense,n,mcse_rel
tunea,0,tunea_05_r5.rds,moderate,NA,1,5,0.09153633191445516,0.09153633191445516,0.22115307957093064,0.22115307957093064,0,2.0130809149114532,3.6215209793799494,2.947691601254336,1.8050540847616412,1.0579460733585861,boot.inf,0.23396803214322504,0.05794607335858615,2.694851823076846,2.694851823076846,9.721846959405012,NA,TRUE,NA,0.31622776601683794
tunea,0,tunea_05_r50.rds,moderate,NA,1,50,0.09153633191445516,0.09153633191445516,0.25622244598263644,0.25622244598263644,0,1.781522816177189,3.1793934201048804,2.494214322000696,1.7117043106030527,1.0236302213910644,boot.inf,0.2622770391065662,0.02363022139106441,5.378630083074353,5.378630083074353,21.15389719652087,NA,TRUE,NA,0.1
tunea,0,tunea_06_r5.rds,bad,NA,1,5,0.10694277786800264,0.10694277786800264,0.33444166647231915,0.33444166647231915,0,1.4936162030485047,2.5869475138409737,2.04712456149515,1.7663231249733367,0.998338826106488,boot.inf,0.3338861007070727,-0.0016611738935119469,-1.0943161782833586,-1.0943161782833586,9.418274431374655,NA,TRUE,NA,0.31622776601683794
tunea,0,tunea_06_r50.rds,bad,NA,1,50,0.10694277786800264,0.10694277786800264,0.3896693067853869,0.3896693067853869,0,1.3993953422108174,2.3599715335013265,1.8642841853023098,1.623740096213925,0.9973736519212353,boot.inf,0.38864589955015755,-0.0026263480787647175,-4.264134353388356,-4.264134353388356,26.526226872018377,NA,TRUE,NA,0.1
tunea,0.5,tunea_07_r5.rds,good,NA,1,5,0.006993082340614524,0.0066752359555427195,0.03195157409692639,0.03197095849888903,6.066806569164918e-4,5.137685856804998,12.884542397752577,10.131590303472793,1.5156518027750348,1.564027344220288,boot.smd,0.04842746088150658,0.5147328436583911,1.2293159125806374,1.1937701658875586,3.4651117457983385,NA,FALSE,NA,0.31622776601683794
tunea,0.5,tunea_07_r50.rds,good,NA,1,50,0.010628863353502457,0.0066752359555427195,0.08671189132758801,0.08693967975113305,0.0026269571572885564,2.067236946271523,4.671194770094577,3.9284266131905867,1.058149186597294,1.0701790664417048,boot.smd,0.09175411727660021,0.05537675707166856,1.0980008695971137,1.2272967546790388,7.010929302280672,NA,FALSE,NA,0.1
tunea,0.5,tunea_08_r5.rds,moderate,NA,1,5,0.018446407499071556,0.010075939143030016,0.13517556029441674,0.1383593259465401,0.023552820089585813,2.0672883041910954,5.078269110540028,3.7634435504058654,2.7237705030012296,1.2000999341300398,boot.inf,0.16222418100532074,0.17248461493662992,3.051418036777074,3.051418036777074,5.645239855742882,NA,FALSE,NA,0.31622776601683794
tunea,0.5,tunea_08_r50.rds,moderate,NA,1,50,0.025546178346641926,0.010075939143030016,0.1489201488358419,0.15422507769931584,0.03562264008560523,1.9764520964353647,4.88344215316372,3.7403090462326127,2.900878049024228,1.291906210913286,boot.inf,0.1923908652111551,0.24746810363907867,5.7017708374396205,5.7017708374396205,13.55214899222109,NA,FALSE,NA,0.1
tunea,0.5,tunea_09_r5.rds,bad,NA,1,5,0.07167856780392512,0.011150863796366912,0.3085856310331157,0.32864790721825676,0.0650136434349664,1.3172323428586699,2.9887441307697773,2.1136845231577497,2.5449937178185564,1.0678385639631935,boot.inf,0.32951963710207816,0.0026524735581001657,0.17747552714289272,0.17747552714289272,5.116021795148244,NA,FALSE,NA,0.31622776601683794
tunea,0.5,tunea_09_r50.rds,bad,NA,1,50,0.075091596768794025,0.011150863796366912,0.31069448136896965,0.3452557386926074,0.11123872291311798,1.2809752543916642,2.868801827524784,2.1856340869182613,2.4574318072439523,1.0456929221028206,boot.inf,0.3248910201039382,-0.05898444632892996,-2.755847384900827,-2.755847384900827,5.161330547379777,NA,FALSE,NA,0.1
tunea,0.5,tunea_10_r5.rds,good,NA,1,5,0.024120335777051957,0.006557326125426418,0.07045464545636264,0.07883897205117191,0.11900317630584412,2.212342928410191,5.303560457168043,3.944451232004549,0.975150854789297,1.0163726604206593,boot.smd,0.06870390774064888,-0.12855398855206623,-0.5698972865059768,-0.3607356605932285,1.245586990733993,NA,TRUE,NA,0.31622776601683794
tunea,0.5,tunea_10_r50.rds,good,NA,1,50,0.01200474795419905,0.006557326125426418,0.08576187686326955,0.08654031983195062,0.00907679492511737,2.1489379850770773,4.817074770609205,3.8829759319461474,1.096338387259624,1.1189169150894653,boot.smd,0.0940240377686354,0.08647666141305144,1.14795257886361,1.4363492733824441,4.844634952241883,NA,TRUE,NA,0.1
tunea,0.5,tunea_11_r5.rds,moderate,NA,1,5,0.029867667426585476,0.00933578414684953,0.1494968458300508,0.16612998997535824,0.11126083666150488,2.265153999459862,5.478595542703428,4.166248966252385,3.3019830021261813,1.290346587564069,boot.inf,0.19290274486839776,0.16115545963140465,0.9443299218617307,0.9443299218617307,4.647612316019778,NA,TRUE,NA,0.31622776601683794
tunea,0.5,tunea_11_r50.rds,moderate,NA,1,50,0.029867667426585476,0.00933578414684953,0.16195706918360317,0.16892893211013046,0.04304759873509201,1.929547099008836,4.769915823316853,3.634786004789592,2.820592940854448,1.2674466078761617,boot.inf,0.2052719379583227,0.21513784166053318,5.186454170032612,5.186454170032612,10.978012185856805,NA,TRUE,NA,0.1
tunea,0.5,tunea_12_r5.rds,bad,NA,1,5,0.06728804804778782,0.010467841111959088,0.3129391925175091,0.34172175212845846,0.09197492771487514,1.4502913862765159,2.9507651044836543,2.2274046082654664,2.6235046861805187,1.0853993556713344,boot.inf,0.33966399792281204,-0.006021724379058124,-0.08449642790314711,-0.08449642790314711,1.6448441407796621,NA,TRUE,NA,0.31622776601683794
