family,cell,overlap,alpha,p,reps,lam,rmse,cv.bloss,cv.smd,cv.inf,boot.smd,boot.inf,sigma_y,n,s
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.06203316590463951,0.4172875589585711,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.05921366277612116,0.42415207374497627,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.05652231041624073,0.43078006253128337,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.0539532841747837,0.4371554590471145,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.05150102414087714,0.4432668641871497,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.04916022311017812,0.4491135789822219,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.04692581509897196,0.4547018689919051,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.04479296438032226,0.46005991141522523,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.042757055018545126,0.4651813761432136,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.040813680879357384,0.4700870581124871,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03895863609407919,0.47476402731003053,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03718790595725331,0.4792200416796884,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03549765823798158,0.48346645441000147,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03388423488617455,0.4875103827951834,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03234414411576499,0.4913834412573634,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.03087405284775142,0.4950815694625593,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.029470779496717014,0.49859835018190096,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.02813128708521245,0.5018942818454589,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,1.10957047330735,1.0771907782590313,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,1.0591387828530716,1.0714697013723196,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,1.010999290563093,1.0606333505379846,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.9650478124932094,1.0457802270678351,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.9211849000202721,1.028737477471014,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.8793156246145366,1.0103509341421573,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
dimhi,dimhi_02_r200,bad,0.5,1000,200,0.8393493723944424,0.9909361519606478,0.4700806566148404,1.0665114325456624,0.7704056797130119,1.0495774974928356,0.45154003313829866,NA,NA,NA
