family,design,alpha,file,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,lam_bloss,lam_bootinf,RMSE_cv,RMSE_boot,CV_excess_pct,Boot_excess_pct,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,overlap,p,n,c_prop,s,s_y,dense,r2,mcse_rel
alpha_bad,"alpha sweep, bad overlap, SNR",0.75,alpha_bad_03_r200.rds,10,200,0.26907809148213796,0.007843769147141596,0.7739191089401857,0.9560768395786932,0.2353705038863254,1.0856798951573456,1.2672950601042183,1.0495921447432814,1.1089634544530136,1.1729187105778827,0.16250443814044918,0.07975750516042313,0.8402284170544471,0.9077442033497064,8.567989515734563,17.291871057788267,cv.inf,0.8122994174103387,-0.15038270588346403,-2.9684279707742935,-1.6853221210695997,-3.0148575672757914,NA,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
alpha_bad,"alpha sweep, bad overlap, SNR",1,alpha_bad_04_r200.rds,10,200,0.2047893061120763,0.11186159612013791,0.817816942701933,0.9419399364080037,0.15177356597185265,1.0452387268117203,1.3067196968580468,1.0969212262264658,1.1427443570437315,1.0170996948624682,0.15947139671518704,0.18036495947048728,0.8548139399548219,0.8318013628754927,4.523872681172025,1.7099694862468207,boot.inf,0.8318013628754927,-0.11692738493763599,-3.927429017444666,-3.927429017444666,-3.741759449027697,NA,NA,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dima,p x alpha x overlap,0.5,dima_02_r200.rds,1,200,0.06828257126126233,0.012213358892928768,0.29875435393911837,0.3265119528557673,0.09291111091992832,1.3053211107126683,2.937269886422889,2.235467067723368,2.4742572877859725,1.076799781440019,0.18170933454585098,0.11172023125564642,0.38997036511405564,0.32169862302589675,30.532111071266833,7.679978144001898,boot.inf,0.32169862302589675,-0.014741665007273919,-1.5269754591194724,-1.5269754591194724,13.715140053681866,bad,100,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.75,dima_04_r200.rds,1,200,0.07708385269158953,0.007889771451733665,0.2700059017445606,0.3354026006337595,0.24220470169969666,1.3905937565098356,3.3393692629907847,2.520246066580818,2.790673052086036,1.2893314182799782,0.16509299275371273,0.08588490623463813,0.3754685211867941,0.3481270922402787,39.05937565098356,28.933141827997822,boot.inf,0.3481270922402787,0.03793796345787337,3.285155157280353,3.285155157280353,7.698896511330467,bad,100,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.5,dima_06_r200.rds,1,200,0.15071642496266746,0.018581025309558942,0.4162628229727719,0.5773119845088484,0.38689297397719047,1.0912278253024663,2.549216923408407,1.8114840961184782,2.4406236827367622,1.0202535016668925,0.21933600481217852,0.12607176585764537,0.45423757506684337,0.4246936027517163,9.122782530246631,2.025350166689255,boot.inf,0.4246936027517163,-0.26436032137280685,-54.951620734870644,-54.951620734870644,-38.78954943567927,bad,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.75,dima_08_r200.rds,1,200,0.12237783330881158,0.028936109120116942,0.34883375076934986,0.5216855805817322,0.4955134915447805,1.1890019465229755,3.0311960923971637,2.1324881095183787,2.933686404519488,1.1995873015406695,0.18818605912334305,0.06990854608810633,0.4147640086776675,0.4184565377717148,18.900194652297554,19.95873015406695,cv.bloss,0.4147640086776675,-0.20495404872957446,-27.136210964682967,-48.08969517166403,-27.136210964682967,bad,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.5,dima_01_r200.rds,1,200,0.03012990288673113,0.010335970645258237,0.14856264540664915,0.15639257682362226,0.052704577220880955,1.8838234404235294,4.804793030685037,3.6361488879572788,2.9455399250942187,1.2205131949274823,0.15711576991390155,0.076379783431862,0.2798657937883747,0.18132266899214802,88.38234404235294,22.051319492748235,boot.inf,0.18132266899214802,0.15940713219810698,8.98590640908096,8.98590640908096,25.62447024606003,moderate,100,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.75,dima_03_r200.rds,1,200,0.03025607062386052,0.007154015865836993,0.11672606106181935,0.13501299650422083,0.15666540339022084,2.1913635120188033,6.182543933617482,4.704465622085404,4.339351042311803,1.3387683300994797,0.12737967974922387,0.06665389647596792,0.25578923111254975,0.1562691538468218,119.13635120188033,33.87683300994797,boot.inf,0.1562691538468218,0.157437860746513,4.811603530384041,4.811603530384041,21.299864565081048,moderate,100,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.5,dima_05_r200.rds,1,200,0.10987891667657945,0.012342962782039188,0.26210774664933606,0.4020248090133254,0.533815059465522,1.2622155162943327,3.448190082644458,2.402348584401931,3.2593686830555986,1.0450288968954846,0.1958069707283391,0.09140677915095231,0.3308364647617359,0.2739101693487168,26.22155162943327,4.502889689548462,boot.inf,0.2739101693487168,-0.31867346689134834,-41.547288760150586,-41.547288760150586,-20.460370725448406,moderate,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dima,p x alpha x overlap,0.75,dima_07_r200.rds,1,200,0.08546913146439866,0.018413766175379608,0.22986798424040059,0.37791719252704065,0.6440618895922765,1.3536500085491365,3.9814522726867776,2.7980865367650143,3.7683693349925926,1.3698152556765402,0.14953793970611903,0.039449295079610536,0.31116079883219105,0.31487667160411525,35.36500085491365,36.98152556765402,cv.bloss,0.31116079883219105,-0.17664291282560018,-19.27562180994108,-32.0666436003632,-19.27562180994108,moderate,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.5,dimhi_02_r200.rds,1,200,0.18083234049430771,0.03388467902348552,0.44555753070163656,0.6547506931463134,0.46950875707397954,1.055039190729391,2.3936559457679594,1.7290823892030833,2.355649776225363,1.0134270033035717,0.2322109213237604,0.1555240239692108,0.4700806566148404,0.45154003313829866,5.503919072939101,1.3427003303571716,boot.inf,0.45154003313829866,-0.31036341333449247,-77.97640757860627,-77.97640757860627,-65.19831213993506,bad,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",0.75,dimhi_04_r200.rds,1,200,0.14185067099687815,0.044338489062385356,0.3708385946763652,0.5687313709655266,0.5336358705109012,1.1290529127619324,2.8682656245771527,2.061621585790792,2.8240133313576674,1.1730241703533728,0.19340296631285894,0.09127992549040344,0.41869639548389176,0.435002634855254,12.905291276193243,17.30241703533728,cv.bloss,0.41869639548389176,-0.26380639989477417,-42.833733536582876,-58.741674775709996,-42.833733536582876,bad,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimhi,"p in {1000, 2000} x alpha x overlap",1,dimhi_06_r200.rds,1,200,0.14874819123025904,0.14874819123025904,0.3411651538537603,0.3411651538537603,0,1.1745354735209326,3.136461004719209,2.2729305557552,3.0954906148678725,1.4641544930974448,0.17646744004996445,0.22151472268046044,0.4007105755304682,0.49951849290326417,17.453547352093256,46.41544930974448,cv.bloss,0.4007105755304682,0.17453547352093257,18.328741625025764,47.21619064148074,18.328741625025764,bad,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
